,Smoothed_Pedro,Smoothed_Santiago,Smoothed_Juan,Smoothed_Andrés,Smoothed_Bartolomé,Smoothed_Tiago,Smoothed_Isca,Smoothed_Tadeo,Smoothed_Mateo,Smoothed_Felipe,Smoothed_Simón,Smoothed_Tomás
2020-09-23 14:00:00,1.0,1.0,0.0,1.0,-1.0,0.0,-1.0,1.0,0.0,-1.0,0.0,0.0
2020-09-23 14:01:00,1.5,0.5,0.5,0.5,-0.5,-0.5,-0.5,0.5,-0.5,-1.0,0.0,0.0
2020-09-23 14:02:00,2.0,0.3333333333333333,1.0,0.3333333333333333,-0.6666666666666666,-0.6666666666666666,-0.6666666666666666,0.6666666666666666,-0.3333333333333333,-0.6666666666666666,-0.3333333333333333,-0.3333333333333333
2020-09-23 14:03:00,2.5,0.5,1.0,0.25,-0.75,-0.75,-0.75,0.5,-0.5,-0.25,-0.25,-0.75
2020-09-23 14:04:00,2.8,0.4,1.0,0.0,-0.8,-0.6,-0.6,0.4,-0.6,0.2,-0.4,-0.8
2020-09-23 14:05:00,3.0,0.5,0.8333333333333334,-0.3333333333333333,-0.6666666666666666,-0.5,-0.6666666666666666,0.3333333333333333,-0.5,0.6666666666666666,-0.3333333333333333,-1.0
2020-09-23 14:06:00,3.0,0.42857142857142855,0.8571428571428571,-0.7142857142857143,-0.7142857142857143,-0.5714285714285714,-0.5714285714285714,0.14285714285714285,-0.2857142857142857,0.8571428571428571,-0.2857142857142857,-1.1428571428571428
2020-09-23 14:07:00,3.0,0.5,0.75,-1.0,-0.625,-0.5,-0.375,0.125,0.0,1.0,-0.25,-1.375
2020-09-23 14:08:00,3.0,0.5555555555555556,0.6666666666666666,-1.3333333333333333,-0.4444444444444444,-0.5555555555555556,-0.1111111111111111,0.2222222222222222,0.1111111111111111,1.0,-0.1111111111111111,-1.4444444444444444
2020-09-23 14:09:00,3.1,0.6,0.7,-1.7,-0.3,-0.5,0.2,0.4,0.2,1.1,0.1,-1.5
